FELIKS MÄND 1910–1942           AUGUST MÄNNI 1890–1945
HUGO MÄND 1895–1952             ENN MÄNNI 1917–1942
JAAN MÄND 1891–1947             GUSTAV MÄNNI –1941
JOHANNES MÄND 1903–1946         INGEL MÄNNI –1941
JULIUS MÄND 1891–1947           JOHANNES MÄNNI 1904–1942
JULIUS MÄND 1900–1950           JOHANNES MÄNNI 1924–1946
KAROLINE MÄND 1877–1949         KAAREL MÄNNI 1896–1941
MIHKEL MÄND 1899–1945           MARTIN MÄNNI 1912–1948
MIKK MÄND 1899–1949             VOLDEMAR MÄNNI –1940
PAULINA MÄND 1892–1943          ANNA MÄNNIK 1876–1949
VOLDEMAR MÄND 1885–1946         ANTON MÄNNIK 1916–1948
JOHANNES MÄNDER 1900–1945       ARNOLD MÄNNIK 1913–1941
HERMAN MÄNDLA 1911–1949         EDUARD MÄNNIK 1902–1948
KONSTANTIN MÄNDLA 1890–1951     ERNST MÄNNIK 1901–1954
OSKAR MÄNDLITS 1912–1945        ERNST MÄNNIK 1913–1946
JÜRI MÄNDMAA 1914–1951          FERDINAND JOHANNES MÄNNIK 1911–1942
VILLU MÄNDVEER 1910–1952        GUSTAV MÄNNIK 1893–1942
ALEKSANDER MÄNDVERE 1896–1942   GUSTAV MÄNNIK 1901–1945
NIKOLAI MÄNDVERE 1897–1942      HANS MÄNNIK 1893–†
RICHARD MÄNGLI 1888–1955        HANS MÄNNIK 1907–1941
ALEKSANDER MÄNNA 1921–1941      HEINRICH MÄNNIK 1898–1945
ALVEUS MÄNNAMAA 1929–1952       ILMAR MÄNNIK 1919–1950
MARTA MÄNNAMAA –1941            JAAN MÄNNIK –1941
ALLI MÄNNI 1892–1952            JAAN MÄNNIK 1873–1951
ARTHUR MÄNNI 1913–1945          JAAN MÄNNIK 1923–1949

                                                                      B 220
JELIZAVETA MÄNNIK 1880–1954            ELMAR MÄRTIN 1911–1948
JOHANNES MÄNNIK 1900–1947              EMILIE MÄRTIN 1874–1949
JOHANNES MÄNNIK 1904–1956              JAAN MÄRTIN 1921–1950
JÜRI MÄNNIK 1896–1944                  RICHARD ERICH MÄRTMAA 1899–1941
KARL MÄNNIK 1868–1949                  TIIA TALVI MÄRTMAA 1938–1944
KARL MÄNNIK 1898–1953                  HUGO MÄRTMANN 1898–1947
KONSTANTIN MÄNNIK 1909–1942            ARVED MÄRTSIN 1903–1948
LEONHARD MÄNNIK 1915–1954              NATAN MÄRTSIN 1914–1954
OSVALD MÄNNIK 1893–1945                AUGUST MÄRTSON 1907–1946
PEETER MÄNNIK 1902–1954                ERNST MÄRTSON 1897–1951
PEETER MÄNNIK 1914–1941                ERVIN KURT JOHANNES MÄRTSON 1906–1944
RAIMUND MÄNNIK 1912–1941               JAAN MÄRTSON 1884–1942
ULRICH MÄNNIK 1914–1942                AUGUST MÄSAK 1889–1952
VILLEM MÄNNIK 1886–1943                ILMAR MÄSSO 1922–1942
HELMUT MÄNNIKSAAR 1929–1949            JOHANNES MÄSSO 1890–1942
MART MÄNNIKSAAR 1895–1941              LEILI MÄTAK 1942–1942
